rol_a,dv_a,unidad_declarante,cod_actividad,macrozona,imasd,d4300,d4301,d4302,d4303,d4310,d4311,d4312,d4313,d4320,d4321,d4322,d4323,d4330,d4331,d4332,d4333,d4400,d4401,d4402,d4403,d4404,d4405,d4410,d4411,d4412,d4413,d4414,d4415,d4420,d4421,d4422,d4423,d4424,d4425,d4430,d4431,d4432,d4433,d4434,d4435,d4500,d4501,d4502,d4503,d4504,d4505,d4510,d4511,d4512,d4513,d4514,d4515,d4520,d4521,d4522,d4523,d4524,d4525,d4530,d4531,d4532,d4533,d4534,d4535,d4600,d4601,d4602,d4603,d4604,d4605,d4606,d4700,d4701,d4702,d4703,d4704,d4705,d4706,d4707,d4717,d4708,d4709,d4710,d4711,d4712,d4713,d4714,d4716,d4715,d4800,d4801,d4802,d4810,d4811,d4812,d4820,d4821,d4822,d4830,d4831,d4832,f6010,f6011,f6012,f6013,f6014,f6015,f6016,f6017,f6018,f6019,f6020,f6021,f6022,f6023,f6023_otra,f6024,f6025,f6026,f6027,f6028,g7000,g7001,g7002,h8100,h8101,h8102,h8103,h8104,h8105,h8106,h8107,h8108,h8109,h8110,h8111,h8111_otro,i9000,a1003,a1019,a1019_otra,a1034,a1035,a1036,a1037,a1038,b2000,b2001,b2002,b2003,b2004,b2005,b2006,b2007,b2026,b2027,c3000,c3001,c3002,c3003,c3004,c3005,c3006,c3007,c3008,c3009,c3010,c3011,c3013,c3014,c3015,c3016,c3017,c3018,c3019,c3020,c3021,c3022,c3023,c3024,c3025,c3026,c3027,c3028,c3029,c3030,c3036,c3037,c3038,c3039,c3040,c3041,c3042,c3043,c3044,c3045,c3046,c3047,c3048,c3049,c3050,c3051,c3052,c3053,c3054,c3055,c3056,c3057,c3058,c3059,c3060,c3061,c3062,c3063,c3064,c3065,c3066,c3067,c3068,c3069,c3070,c3071,c3072,c3073,c3100,c3107,c3110,c3111,c3112,c3113,c3114,c3115,c3126,c3127,c3128,c3129,c3130,c3131,c3132,c3133,c3134,c3135,c3136,c3137,c3138,c3140,c3141,c3142,c3143,c3144,j8000,j8001,j8002,j8003,j8004,j8005,j8006,j8007,j8008,j8009,j8010,j8011,j8012,j8013,j8014,j8015,j8016,j8017,j8018,j8019,j8020,j8021,j8022,j8023,j8024,j8025,j8026,j8027,j8028,j8029,j8030,j8031,j8032,j8033,j8034,j8035,j8036,j8037,j8038,j8039,j8040,j8041,j8042,j8043,j8044,j8045,j8046,j8047,j8048,j8049,j8050,j8051,j8052,j8053,j8054
20010,6,4,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,0,1,0,0,0,0,0,,,,4,1,0,0,1,,0,1,,,,1,0,0,1,0,0,0,,1,1993,4,0,100,0,0,0,1,8950000,0,59,8,0,0,0,67,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20011,8,4,4,2,1,16.125,0,0,16.125,4.125,0,0,4.125,16.125,0,0,16.125,4.125,0,0,4.125,5.125,7,4,0,0,16.125,1.125,2,1,0,0,4.125,5.125,7,4,0,0,16.125,1.125,2,1,0,0,4.125,5.125,7,4,0,0,16.125,1.125,2,1,0,0,4.125,5.125,7,4,0,0,16.125,1.125,2,1,0,0,4.125,15.125,1,0,0,0,0,16.125,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4,12.125,16.125,1,3.125,4.125,4,12.125,16.125,1,3.125,4.125,,,,,,,,,,,,,,,,,,,,,1,0,600000,1,0,1,0,2,,,,,,,,,32,1974,4,0,100,0,0,0,1,20000000,175510,221,178,11,6,7,423,0,,1,0,0,0,1,0,50000,0,0,50000,78000,20000,150000,320000,0,58000,15000,0,73000,393000,0,80,20,148000,0,245000,0,0,0,0,0,393000,,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,,393000,0,270000,,0,0,1,,,78000,0,0,12000,7000,3000,0,0,1,,,0,0,1,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20012,1,4,4,2,1,2,2,0,4,0,0,0,0,1,2,0,3,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4,0,4,0,0,0,3,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,100000,0,1,,,,0,1,0,0,0,0,0,,10,1960,4,0,48,52,0,1,0,75447800,557539,262,102,9,0,0,373,225,,0,0,1,0,0,1,33023,23800,0,56823,0,0,334,64115,0,3062,0,0,3062,67177,0,0,100,0,0,67177,0,0,0,0,0,67177,,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,10,90,0,0,0,0,0,0,0,0,67177,0,7292,,0,0,1,,71250,0,0,0,800,4851,1241,66,0,1,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20013,3,4,4,2,1,4.1666999,6,.25,10.4167,2,2,0,4,1.7667,.69999999,.25,2.7167001,1.2,.2,0,1.4,0,0,8.1667004,2,.25,10.4167,0,0,4,0,0,4,0,0,2.2667,.2,.25,2.7167001,0,0,1.4,0,0,1.4,0,0,4.1666999,0,0,4.1666999,0,0,2,0,0,2,0,0,1.7667,0,0,1.7667,0,0,1.2,0,0,1.2,0,1.7667,0,0,0,0,1.7667,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,10,.41670001,10.4167,4,0,4,2.3,.41670001,2.7167001,1.4,0,1.4,,,,,,,,,,,,,,,,,,,,,1,0,200000,1,0,1,0,2,,,,,,,,,35,1949,4,0,100,0,0,0,1,11424577,0,65,38,0,0,0,103,19,,0,0,1,0,1,0,14000,8000,0,22000,21600,0,1200,51460,0,16817,27000,0,43817,95277,0,90,10,4010,0,91267,0,0,0,0,0,95277,,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,10,25,10,40,0,0,0,0,0,0,15,4010,95277,0,29460,20,0,0,1,,0,20000,0,1600,2560,3800,0,300,1,0,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20014,5,4,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,1,0,,,,6,0,0,0,1,,0,1,,,,0,0,1,0,0,0,0,,2,1987,2,0,0,100,0,1,0,30149481,29600390,13,25,0,0,0,38,21,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20015,7,4,7,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,0,0,1,0,0,1,0,0,0,,,,11,0,0,0,1,,0,1,,,,0,1,1,0,0,0,0,,1,1993,2,0,100,0,0,0,1,2117108,0,34,7,1,0,0,42,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20016,0,4,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,8,1,0,1,0,15000,0,1,,,,0,0,0,0,0,0,1,FALTA DE TIEMPO,2,1976,8,0,100,0,0,1,0,3780467,15812,40,4,0,0,0,44,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20017,2,4,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,8,1,0,0,1,,0,1,,,,0,1,0,0,0,0,0,,3,1993,2,0,100,0,0,0,1,5340,0,30,3,0,0,0,33,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20018,4,4,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,48325,0,1,,,,0,0,0,0,0,0,1,LA POSTULACIÃN A LA LEY NO FUE PARA EL AÃO EN CONSULTA,8,1979,4,0,50,50,0,1,0,19594164,103268,109,34,0,0,0,143,10,,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6091,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20019,6,4,5,3,1,4,1,0,5,3,0,0,3,.94999999,.15000001,0,1.1,.89999998,0,0,.89999998,0,0,4,1,0,5,0,0,3,0,0,3,0,0,.94999999,.15000001,0,1.1,0,0,.89999998,0,0,.89999998,0,0,4,0,0,4,0,0,3,0,0,3,0,0,.94999999,0,0,.94999999,0,0,.89999998,0,0,.89999998,0,.050000001,0,.89999998,0,0,.94999999,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,5,0,5,3,0,3,1.1,0,1.1,.89999998,0,.89999998,,,,,,,,,,,,,,,,,,,,,1,0,55000,0,1,,,,0,0,1,0,0,0,0,,27,1940,4,0,100,0,0,1,0,27471106,0,176,26,0,1,0,203,72,,1,0,0,0,0,1,44586,3497,0,48083,0,0,68,48235,0,0,10286,0,10286,58521,10,20,70,0,0,58521,0,0,0,0,0,58521,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,60,0,40,0,0,0,0,0,0,20,80,0,0,0,0,0,0,0,,58521,0,152,,0,0,1,,,0,0,0,84,0,0,0,0,1,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
