rol_a,dv_a,unidad_declarante,cod_actividad,macrozona,imasd,d4300,d4301,d4302,d4303,d4310,d4311,d4312,d4313,d4320,d4321,d4322,d4323,d4330,d4331,d4332,d4333,d4400,d4401,d4402,d4403,d4404,d4405,d4410,d4411,d4412,d4413,d4414,d4415,d4420,d4421,d4422,d4423,d4424,d4425,d4430,d4431,d4432,d4433,d4434,d4435,d4500,d4501,d4502,d4503,d4504,d4505,d4510,d4511,d4512,d4513,d4514,d4515,d4520,d4521,d4522,d4523,d4524,d4525,d4530,d4531,d4532,d4533,d4534,d4535,d4600,d4601,d4602,d4603,d4604,d4605,d4606,d4700,d4701,d4702,d4703,d4704,d4705,d4706,d4707,d4717,d4708,d4709,d4710,d4711,d4712,d4713,d4714,d4716,d4715,d4800,d4801,d4802,d4810,d4811,d4812,d4820,d4821,d4822,d4830,d4831,d4832,f6010,f6011,f6012,f6013,f6014,f6015,f6016,f6017,f6018,f6019,f6020,f6021,f6022,f6023,f6023_otra,f6024,f6025,f6026,f6027,f6028,g7000,g7001,g7002,h8100,h8101,h8102,h8103,h8104,h8105,h8106,h8107,h8108,h8109,h8110,h8111,h8111_otro,i9000,a1003,a1019,a1019_otra,a1034,a1035,a1036,a1037,a1038,b2000,b2001,b2002,b2003,b2004,b2005,b2006,b2007,b2026,b2027,c3000,c3001,c3002,c3003,c3004,c3005,c3006,c3007,c3008,c3009,c3010,c3011,c3013,c3014,c3015,c3016,c3017,c3018,c3019,c3020,c3021,c3022,c3023,c3024,c3025,c3026,c3027,c3028,c3029,c3030,c3036,c3037,c3038,c3039,c3040,c3041,c3042,c3043,c3044,c3045,c3046,c3047,c3048,c3049,c3050,c3051,c3052,c3053,c3054,c3055,c3056,c3057,c3058,c3059,c3060,c3061,c3062,c3063,c3064,c3065,c3066,c3067,c3068,c3069,c3070,c3071,c3072,c3073,c3100,c3107,c3110,c3111,c3112,c3113,c3114,c3115,c3126,c3127,c3128,c3129,c3130,c3131,c3132,c3133,c3134,c3135,c3136,c3137,c3138,c3140,c3141,c3142,c3143,c3144,j8000,j8001,j8002,j8003,j8004,j8005,j8006,j8007,j8008,j8009,j8010,j8011,j8012,j8013,j8014,j8015,j8016,j8017,j8018,j8019,j8020,j8021,j8022,j8023,j8024,j8025,j8026,j8027,j8028,j8029,j8030,j8031,j8032,j8033,j8034,j8035,j8036,j8037,j8038,j8039,j8040,j8041,j8042,j8043,j8044,j8045,j8046,j8047,j8048,j8049,j8050,j8051,j8052,j8053,j8054
20990,3,4,7,4,1,1.3333,11,2,14.3333,0,0,0,0,.4833,4.5,.80000001,5.7832999,0,0,0,0,0,0,4.3333001,10,0,14.3333,0,0,0,0,0,0,0,0,1.5833,4.1999998,0,5.7832999,0,0,0,0,0,0,0,0,1.3333,0,0,1.3333,0,0,0,0,0,0,0,0,.4833,0,0,.4833,0,0,0,0,0,0,0,.4833,0,0,0,0,.4833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,14,.33329999,14.3333,0,0,0,5.4499998,.33329999,5.7832999,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,,0,1,,,,1,0,0,0,0,0,0,,24,1989,4,,100,0,0,0,1,3293119,398568,74,15,0,0,0,89,0,,1,0,0,0,1,0,8362,16510,9385,34257,2326,5900,49106,104093,0,0,0,0,0,104093,0,100,0,46286,0,57807,0,0,0,0,0,104093,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,,104093,0,69836,,0,0,1,,,2326,0,0,1200,4388,6916,0,0,1,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20991,5,4,17,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,0,0,0,0,0,0,0,,,,4,0,0,0,1,,0,1,,,,0,0,1,0,0,0,0,,1,2007,8,,100,0,0,0,1,379000,0,1,12,0,0,0,13,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20992,7,4,21,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,8,1,0,0,1,,0,1,,,,0,1,0,0,0,0,0,,1,2000,2,,100,0,0,0,1,703000,0,2,12,0,0,0,14,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20993,0,4,13,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,0,0,0,0,0,0,0,1,0,,,,3,0,0,0,1,,0,1,,,,0,1,0,0,0,0,0,,1,1995,2,,0,100,0,1,0,570000,0,1,3,0,0,0,4,2,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20994,2,4,2,2,1,1,0,.25,1.25,1,0,.25,1.25,1,0,.025,1.025,1,0,.025,1.025,1,0,0,0,.25,1.25,1,0,0,0,.25,1.25,1,0,0,0,.025,1.025,1,0,0,0,.025,1.025,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,1.25,0,1.25,1.25,0,1.25,1.025,0,1.025,1.025,0,1.025,,,,,,,,,,,,,,,,,,,,,1,0,9000,1,0,1,0,1,,,,,,,,,2,2000,4,,100,0,0,0,1,45505,0,3,1,0,2,0,6,0,,1,0,0,0,1,0,36000,0,6972,42972,0,0,3000,46092,0,0,0,0,0,46092,0,75,25,15800,0,30292,0,0,0,0,0,46092,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,,46092,0,3120,,0,0,1,,,0,0,0,120,0,0,0,0,1,,,0,0,1,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20995,4,4,5,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,8,1,0,0,1,,0,1,,,,0,0,0,0,1,0,0,,72,1990,4,,76,24,0,1,0,596481149,112338721,5887,1642,4,0,0,7533,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20996,6,4,19,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,8,1,0,0,1,,0,1,,,,0,1,0,0,0,0,0,,1,1993,2,,100,0,0,0,1,115030,38846,2,1,0,0,0,3,2,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20997,8,4,13,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,1,1,0,0,0,0,0,0,0,,,,4,0,0,0,1,,0,1,,,,0,0,1,0,0,0,0,,3,2011,2,,100,0,0,0,1,193920,31049,4,0,1,0,0,5,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20998,1,4,2,2,1,2,1,5,8,1,0,5,6,.5,.30000001,.5,1.3,.25,0,.5,.75,0,0,2,1,5,8,0,0,1,0,5,6,0,0,.5,.30000001,.5,1.3,0,0,.25,0,.5,.75,0,0,2,0,0,2,0,0,1,0,0,1,0,0,.5,0,0,.5,0,0,.25,0,0,.25,0,0,0,.5,0,0,.5,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,8,0,8,6,0,6,1.3,0,1.3,.75,0,.75,,,,,,,,,,,,,,,,,,,,,1,0,30000,0,1,,,,0,0,0,0,0,0,1,NO HEMOS PRESENTADO CARTA PARA SOLICTAR ADHERINOS A ESTA LEY,3,2008,8,,100,0,0,0,1,538933,58812,36,4,0,0,0,40,1,,1,0,0,0,1,0,4246,1820,1620,7686,0,0,3521,19508,0,14720,3548,0,18268,37776,0,20,80,18862,0,18914,0,0,0,0,0,37776,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,,37776,0,11822,,0,0,1,,,0,0,0,4675,1226,2400,0,0,1,,,0,0,1,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20999,3,4,13,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,1,0,1,0,0,0,0,0,0,0,,,,4,0,0,0,1,,0,1,,,,0,0,0,0,0,0,1,AÃN CON INCENTIVO TRIBUTARIO SE REQUIERE INVERSIÃN LA CUAL NO SE ENCUENTRA DISPONIBLE,2,2013,2,,100,0,0,0,1,6313130,0,0,0,0,0,1,1,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21000,8,4,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,1,1,0,1,1,0,0,0,0,,,,4,0,0,0,1,,0,1,,,,1,0,1,0,0,0,0,,3,2012,9,,100,0,0,0,1,10250,0,0,0,0,0,1,1,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21001,1,4,20,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,8,1,0,0,1,,0,1,,,,1,0,0,0,0,0,0,,2,2005,2,,100,0,0,0,1,257515,0,60,2,0,0,0,62,3,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21002,3,4,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,0,0,0,0,0,0,0,,,,4,0,0,0,1,,0,1,,,,0,0,1,0,0,0,0,,1,2006,2,,100,0,0,0,1,6897,0,0,2,0,0,0,2,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21003,5,4,20,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,1,1,1,0,0,0,0,,,,4,0,0,0,1,,0,1,,,,0,1,1,1,0,0,0,,1,2000,8,,100,0,0,0,1,310000,0,0,5,1,0,0,6,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21004,7,4,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,1,1,1,0,1,0,0,0,0,,,,4,0,0,0,1,,0,1,,,,1,0,0,0,0,0,0,,1,2013,9,,100,0,0,0,1,29029,0,3,1,0,0,0,4,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21005,0,4,14,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,8,1,0,0,1,,0,1,,,,0,0,1,0,0,0,0,,3,2002,2,,100,0,0,0,1,119319,0,3,0,1,0,0,4,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21006,2,4,2,4,1,1.3333,0,0,1.3333,.5,0,0,.5,1.0833,0,0,1.0833,.5,0,0,.5,.33329999,0,1,0,0,1.3333,0,0,.5,0,0,.5,.33329999,0,.75,0,0,1.0833,0,0,.5,0,0,.5,.33329999,0,1,0,0,1.3333,0,0,.5,0,0,.5,.33329999,0,.75,0,0,1.0833,0,0,.5,0,0,.5,0,.83329999,0,.25,0,0,1.0833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,1.3333,0,1.3333,.5,0,.5,1.0833,0,1.0833,.5,0,.5,,,,,,,,,,,,,,,,,,,,,1,0,500000,1,0,1,0,1,,,,,,,,,3,2011,2,,100,0,0,0,1,1057630,0,11,9,0,2,0,22,0,,1,0,0,0,1,0,19356,0,0,19356,0,9868,700,32516,47000,0,52000,0,99000,131516,50,20,30,66242,0,65274,0,0,0,0,0,131516,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,50,0,50,0,0,0,0,0,0,50,35,0,0,15,0,0,0,0,,131516,0,13160,,0,0,1,,,0,0,0,1092,500,1000,0,0,1,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21007,4,4,20,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,8,1,0,0,1,,0,1,,,,0,0,0,0,0,0,1,NO ES PRIORIDAD O NO ES NECESARIO PARA LA EMPRESA,1,2012,2,,100,0,0,0,1,3000,0,0,3,0,0,0,3,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21008,6,4,17,2,1,.25,2.75,0,3,0,0,0,0,.25,1.5,0,1.75,0,0,0,0,.25,1.75,1,0,0,3,0,0,0,0,0,0,.25,1.25,.25,0,0,1.75,0,0,0,0,0,0,.25,0,0,0,0,.25,0,0,0,0,0,0,.25,0,0,0,0,.25,0,0,0,0,0,0,0,0,0,.25,0,0,.25,0,0,0,0,0,0,0,0,0,66.666702,0,0,0,0,0,0,33.333302,100,2.25,.75,3,0,0,0,1,.75,1.75,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,30000,0,1,,,,1,0,0,0,0,0,0,,2,2011,2,,100,0,0,0,1,150000,0,0,2,2,1,0,5,3,,1,0,0,0,1,0,30000,31000,0,61000,20000,1200,1500,87500,0,0,0,0,0,87500,0,100,0,30000,0,37000,20500,0,0,0,0,87500,,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,,87500,0,26500,,0,1,0,10,,0,20000,0,600,0,3200,0,0,1,,,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21009,8,4,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,0,0,1,1,1,0,0,0,0,,,,8,1,0,0,1,,0,1,,,,0,0,0,0,0,0,1,NO ES PRIORIDAD / NO ES NECESARIO PARA LA EMPRESA,1,2007,1,,100,0,0,0,1,90895,0,3,0,0,0,0,3,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21010,2,4,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,0,0,0,0,0,0,0,,,,8,1,0,0,1,,0,1,,,,1,1,0,0,0,0,0,,2,1994,10,SUCESION,100,0,0,0,1,111938,0,0,0,0,0,5,5,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21011,4,4,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,8,1,0,0,1,,0,1,,,,0,1,0,0,0,0,0,,1,1992,10,SUCESION,100,0,0,0,1,167127,0,3,0,0,0,0,3,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21012,6,4,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,8,1,0,0,1,,0,1,,,,0,1,0,0,0,0,0,,1,1977,1,,100,0,0,0,1,70000,0,2,0,0,0,0,2,1,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21013,8,4,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,8,1,0,0,1,,0,1,,,,0,0,1,0,0,0,0,,1,1971,1,,100,0,0,0,1,125000,0,3,0,0,0,0,3,2,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21014,1,4,2,2,1,.83329999,1.8333,0,2.6666999,.83329999,1.8333,0,2.6666999,.83329999,1.1833,0,2.0167,.83329999,1.1833,0,2.0167,.83329999,.83329999,0,1,0,2.6666999,.83329999,.83329999,0,1,0,2.6666999,.83329999,.83329999,0,.34999999,0,2.0167,.83329999,.83329999,0,.34999999,0,2.0167,.83329999,0,0,0,0,.83329999,.83329999,0,0,0,0,.83329999,.83329999,0,0,0,0,.83329999,.83329999,0,0,0,0,.83329999,.83329999,0,0,0,0,0,.83329999,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,1.8333,.83329999,2.6666999,1.8333,.83329999,2.6666999,1.1833,.83329999,2.0167,1.1833,.83329999,2.0167,,,,,,,,,,,,,,,,,,,,,1,0,6000,0,1,,,,1,1,0,0,0,0,0,,3,2008,2,,100,0,0,0,1,114191,103000,2,1,1,1,0,5,0,,1,0,0,0,1,0,0,8160,0,8160,18180,0,245,27708,0,2600,8249,0,10849,38557,0,20,80,28918,0,9639,0,0,0,0,0,38557,,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,,38557,0,19548,,0,0,1,,,18180,0,0,383,160,580,0,0,1,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21015,3,4,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,8,1,0,0,1,,0,1,,,,0,0,0,0,0,0,1,NO ES PRIORIDAD / NO ES NECESARIO PARA LA EMPRESA,1,1993,2,,100,0,0,0,1,120000,0,4,0,0,0,0,4,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21016,5,4,5,4,1,.5,0,0,.5,.5,0,0,.5,.375,0,0,.375,.375,0,0,.375,0,0,.5,0,0,.5,0,0,.5,0,0,.5,0,0,.375,0,0,.375,0,0,.375,0,0,.375,0,0,.5,0,0,.5,0,0,.5,0,0,.5,0,0,.375,0,0,.375,0,0,.375,0,0,.375,.375,0,0,0,0,0,.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,.5,0,.5,.5,0,.5,.375,0,.375,.375,0,.375,,,,,,,,,,,,,,,,,,,,,1,0,200,0,1,,,,1,1,0,0,0,0,0,,2,2008,9,,100,0,0,0,1,0,0,0,1,0,0,0,1,0,,1,0,0,0,0,1,6000,0,0,6000,0,0,800,6850,0,0,0,0,0,6850,0,0,100,0,0,6850,0,0,0,0,0,6850,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,,6850,0,850,,0,0,1,,,0,0,0,50,0,0,0,0,1,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21017,7,4,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,7,0,1,0,1,,0,1,,,,0,0,1,0,0,0,0,,1,1998,1,,100,0,0,0,1,20000,20000,1,1,0,0,0,2,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21018,0,4,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,0,0,1,0,0,0,0,,,,4,0,0,0,1,,0,1,,,,1,0,0,1,0,0,0,,6,1999,6,,100,0,0,1,0,21329,0,1,1,0,0,0,2,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
